BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

3080	1749	3080	32,5	3080	0	3080	1	3080	5329,9
3090	1750	3090	41,9	3090	0	3090	1	3090	5329,9
3100	1751	3100	41,5	3100	0	3100	1	3100	5329,9
3110	1752	3110	26,5	3110	0	3110	1	3110	5329,9
3120	1753	3120	46,7	3120	0	3120	1	3120	5329,9
3130	1754	3130	35,6	3130	0	3130	1	3130	5329,9
3140	1755	3140	25,7	3140	0	3140	1	3140	5329,9
3150	1756	3150	48,1	3150	0	3150	1	3150	5329,9
3160	1757	3160	27,1	3160	0	3160	1	3160	5329,9
3170	1758	3170	33,4	3170	0	3170	1	3170	5329,9
3180	1759	3180	29,2	3180	0	3180	1	3180	5329,9
3190	1760	3190	41,4	3190	0	3190	1	3190	5329,9
3200	1761	3200	53,2	3200	0	3200	1	3200	5329,9
3210	1762	3210	51,4	3210	0	3210	1	3210	5329,9
3220	1763	3220	34,1	3220	0	3220	1	3220	5329,9
3230	1764	3230	24,2	3230	0	3230	1	3230	5329,9
3240	1765	3240	46,4	3240	0	3240	1	3240	5329,9
3250	1766	3250	43,7	3250	0	3250	1	3250	5329,9
3260	1767	3260	44,4	3260	0	3260	1	3260	5329,9
3270	1768	3270	24,5	3270	0	3270	1	3270	5329,9
3280	1769	3280	26,1	3280	0	3280	1	3280	5329,9
3290	1770	3290	49,7	3290	0	3290	1	3290	5329,9
3300	1771	3300	32	3300	0	3300	1	3300	5329,9
3310	1772	3310	46,3	3310	0	3310	1	3310	5329,9
3320	1773	3320	41,1	3320	0	3320	1	3320	5329,9
3330	1774	3330	40,7	3330	0	3330	1	3330	5329,9
3340	1775	3340	43,2	3340	0	3340	1	3340	5329,9
3350	1776	3350	42,5	3350	0	3350	1	3350	5329,9
3360	1777	3360	36,6	3360	0	3360	1	3360	5329,9
3370	1778	3370	45	3370	0	3370	1	3370	5329,9
3380	1779	3380	41,4	3380	0	3380	1	3380	5329,9
3390	1780	3390	48,2	3390	0	3390	1	3390	5329,9
3400	1781	3400	49,7	3400	0	3400	1	3400	5329,9
3410	1782	3410	45,3	3410	0	3410	1	3410	5329,9
3420	1783	3420	52,1	3420	0	3420	1	3420	5329,9
3430	1784	3430	51,2	3430	0	3430	1	3430	5329,9
3440	1785	3440	46	3440	0	3440	1	3440	5329,9
3450	1786	3450	42,6	3450	0	3450	1	3450	5329,9
3460	1787	3460	44,7	3460	0	3460	1	3460	5329,9
3470	1788	3470	41,1	3470	0	3470	1	3470	5329,9
3480	1789	3480	49,6	3480	0	3480	1	3480	5329,9
3490	1790	3490	41,6	3490	0	3490	1	3490	5329,9
3500	1791	3500	44	3500	0	3500	1	3500	5329,9
3510	1792	3510	47,6	3510	0	3510	1	3510	5329,9
3520	1793	3520	115,2	3520	0	3520	1	3520	5329,9
3530	1794	3530	35,1	3530	0	3530	1	3530	5329,9
3540	1795	3540	32	3540	0	3540	1	3540	5329,9
3550	1796	3550	26,3	3550	0	3550	1	3550	5329,9
3560	1797	3560	40,8	3560	0	3560	1	3560	5329,9
3570	1798	3570	46,7	3570	0	3570	1	3570	5329,9
3580	1799	3580	47,8	3580	0	3580	1	3580	5329,9
3590	1800	3590	51,9	3590	0	3590	3	3590	5329,9
3600	1801	3600	66,1	3600	0	3600	1	3600	5329,9
3610	1802	3610	50,2	3610	0	3610	1	3610	5329,9
3620	1803	3620	46,3	3620	0	3620	1	3620	5329,9
3630	1804	3630	41	3630	0	3630	1	3630	5329,9
3640	1805	3640	41,9	3640	0	3640	1	3640	5329,9
3650	1806	3650	42,2	3650	0	3650	1	3650	5329,9
3660	1807	3660	44,6	3660	0	3660	1	3660	5329,9
3670	1808	3670	50,1	3670	0	3670	1	3670	5329,9
3680	1809	3680	36,3	3680	0	3680	1	3680	5329,9
3690	1810	3690	41,1	3690	0	3690	1	3690	5329,9
3700	1811	3700	47,2	3700	0	3700	1	3700	5329,9
3710	1812	3710	42	3710	0	3710	1	3710	5329,9
3720	1813	3720	27,5	3720	0	3720	1	3720	5329,9
3730	1814	3730	45,3	3730	0	3730	1	3730	5329,9
3740	1815	3740	50,3	3740	0	3740	1	3740	5329,9
3750	1816	3750	46,1	3750	0	3750	1	3750	5329,9
3760	1817	3760	44,4	3760	0	3760	1	3760	5329,9
3770	1818	3770	46,2	3770	0	3770	1	3770	5329,9
3780	1819	3780	42,5	3780	0	3780	1	3780	5329,9
3790	1820	3790	41,8	3790	0	3790	1	3790	5329,9
3800	1821	3800	44,7	3800	0	3800	1	3800	5329,9
3810	1822	3810	45,3	3810	0	3810	1	3810	5329,9
3820	1823	3820	47,6	3820	0	3820	1	3820	5329,9
3830	1824	3830	52,3	3830	0	3830	1	3830	5329,9
3840	1825	3840	30	3840	0	3840	1	3840	5329,9
3850	1826	3850	48,5	3850	0	3850	1	3850	5329,9
3860	1827	3860	42,8	3860	0	3860	1	3860	5329,9
3870	1828	3870	44,5	3870	0	3870	1	3870	5329,9
3880	1829	3880	58	3880	0	3880	1	3880	5329,9
3890	1830	3890	38,3	3890	0	3890	1	3890	5329,9
3900	1831	3900	51	3900	0	3900	1	3900	5329,9
3910	1832	3910	44,3	3910	0	3910	1	3910	5329,9
3920	1833	3920	47,3	3920	0	3920	1	3920	5329,9
3930	1834	3930	40,1	3930	0	3930	1	3930	5329,9
3940	1835	3940	55,5	3940	0	3940	1	3940	5329,9
3950	1836	3950	47	3950	0	3950	1	3950	5329,9
3960	1837	3960	46	3960	0	3960	1	3960	5329,9
3970	1838	3970	44,6	3970	0	3970	1	3970	5329,9
3980	1839	3980	42,1	3980	0	3980	1	3980	5329,9
3990	1840	3990	36,3	3990	0	3990	1	3990	5329,9
4000	1841	4000	49,8	4000	0	4000	1	4000	5329,9
4010	1842	4010	46,3	4010	0	4010	1	4010	5329,9
4020	1843	4020	47,3	4020	0	4020	1	4020	5329,9
4030	1844	4030	48,1	4030	0	4030	1	4030	5329,9
4040	1845	4040	53,1	4040	0	4040	1	4040	5329,9
4050	1846	4050	43,4	4050	0	4050	1	4050	5329,9
4060	1847	4060	44,3	4060	0	4060	1	4060	5329,9
4070	1848	4070	49,9	4070	0	4070	1	4070	5329,9
4080	1849	4080	44	4080	0	4080	1	4080	5329,9
4090	1850	4090	43,1	4090	0	4090	1	4090	5329,9
4100	1851	4100	32,2	4100	0	4100	1	4100	5329,9
